id;nombre;direccion;telefono;correo_electronico;url_img;hora_apertura;hora_cierre;user_id
1;gee blah;last;upside-down;homely;physical;democ;inten;15865
2;soggy grounded barring;meanwhile peninsula;flickering redesign;early;phew however;now d;durin;20197
3;corny victoriously granular;soybean yahoo;dead given;afford;when assist wonderfully;vista;behin;7183
4;wire around whenever;warp;specific playfully respray;likewise mobilise;sonar;putre;promp;21161
5;duh loyalty;when coolly hidden;till square;aside;goose;near ;via a;15250
6;hexagon loudly;uh-huh tightly institute;fooey excluding;gosh aw;yowza whitewash;over;a coa;7147
7;near;mild;optimistically determined;brightly;athwart;phooe;lampo;12940
8;bran;bug;tighten promptly;economise;defrag promptly;forma;becau;28478
9;whenever brr orderly;mispronounce brook;barring informal;for thorn;huzzah ruin gah;via;indee;31371
10;ferociously;violently;large;junior deep;beyond boohoo majestic;ick d;indee;5846
